State,City,Number of Showrooms,Dealer URL
Andhra Pradesh,Anantapur,1,https://www.bikewale.com/dealer-showrooms/ather/anantapur/
Andhra Pradesh,Bhimavaram,1,https://www.bikewale.com/dealer-showrooms/ather/bhimavaram/
Andhra Pradesh,Guntur,1,https://www.bikewale.com/dealer-showrooms/ather/guntur/
Andhra Pradesh,Kakinada,1,https://www.bikewale.com/dealer-showrooms/ather/kakinada/
Andhra Pradesh,Kurnool,1,https://www.bikewale.com/dealer-showrooms/ather/kurnool/
Andhra Pradesh,Nellore,1,https://www.bikewale.com/dealer-showrooms/ather/nellore/
Andhra Pradesh,Rajahumundry,1,https://www.bikewale.com/dealer-showrooms/ather/rajahumundry/
Andhra Pradesh,Srikakulam,1,https://www.bikewale.com/dealer-showrooms/ather/srikakulam/
Andhra Pradesh,Tirupati,1,https://www.bikewale.com/dealer-showrooms/ather/tirupati/
Andhra Pradesh,Vijaywada,1,https://www.bikewale.com/dealer-showrooms/ather/vijaywada/
Andhra Pradesh,Visakhapatnam,2,https://www.bikewale.com/dealer-showrooms/ather/visakhapatnam/
Assam,Guwahati,1,https://www.bikewale.com/dealer-showrooms/ather/guwahati/
Bihar,Patna,1,https://www.bikewale.com/dealer-showrooms/ather/patna/
Chhattisgarh,Raipur,2,https://www.bikewale.com/dealer-showrooms/ather/raipur/
Delhi,Delhi,8,https://www.bikewale.com/dealer-showrooms/ather/delhi/
Goa,Margao,1,https://www.bikewale.com/dealer-showrooms/ather/margao/
Goa,Porvorim,1,https://www.bikewale.com/dealer-showrooms/ather/porvorim/
Gujarat,Ahmedabad,4,https://www.bikewale.com/dealer-showrooms/ather/ahmedabad/
Gujarat,Anand,1,https://www.bikewale.com/dealer-showrooms/ather/anand/
Gujarat,Bardoli,1,https://www.bikewale.com/dealer-showrooms/ather/bardoli/
Gujarat,Bharuch,1,https://www.bikewale.com/dealer-showrooms/ather/bharuch/
Gujarat,Bhavnagar,1,https://www.bikewale.com/dealer-showrooms/ather/bhavnagar/
Gujarat,Gandhidham,1,https://www.bikewale.com/dealer-showrooms/ather/gandhidham/
Gujarat,Gandhinagar,1,https://www.bikewale.com/dealer-showrooms/ather/gandhinagar/
Gujarat,Jamnagar,1,https://www.bikewale.com/dealer-showrooms/ather/jamnagar/
Gujarat,Junagadh,1,https://www.bikewale.com/dealer-showrooms/ather/junagadh/
